,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.057572109130763376,0.06370413334278605,0.0019576925345649696,0.005074890037280791,0.0034683682080292708,0.24345949368514652,0.25197969518521024
T2,0.057572109130763376,1.0,0.12274710104522882,0.0148380954475669,0.01198530286222087,0.006435372279137798,0.815534862106082,0.7162507307369594
T3,0.06370413334278605,0.12274710104522882,1.0,0.3890598963233321,0.710273566264233,0.40839160600905117,0.16925720006450104,0.20383824371406625
T4,0.0019576925345649696,0.0148380954475669,0.3890598963233321,1.0,0.07611004597109583,0.026873420459316073,0.1690361026682446,0.2859069099943491
T5,0.005074890037280791,0.01198530286222087,0.710273566264233,0.07611004597109583,1.0,0.47504067900234076,0.029207451568850462,0.04378618771995565
T6,0.0034683682080292708,0.006435372279137798,0.40839160600905117,0.026873420459316073,0.47504067900234076,1.0,0.016934399457777492,0.025462361841712466
T7,0.24345949368514652,0.815534862106082,0.16925720006450104,0.1690361026682446,0.029207451568850462,0.016934399457777492,1.0,0.8933373355254011
T8,0.25197969518521024,0.7162507307369594,0.20383824371406625,0.2859069099943491,0.04378618771995565,0.025462361841712466,0.8933373355254011,1.0
