,transform,mean,se,group
T1,log1p,27.85625,0.44281003733730545,i
T2,log1p,38.13125,2.254910729016413,j
T3,log1p,57.125,3.4768729964342002,c
T4,log1p,54.568749999999994,2.250193857389476,cd
T5,log1p,55.75,2.121983152619266,cde
T6,log1p,56.31875,2.6293292672910575,cdef
T7,log1p,52.8625,0.5979565898402094,cdefg
T8,log1p,52.58125,2.144333011101588,cdefg
