,transform,mean,se,group
T3,log1p,73.25,3.386369737639408,d
T4,log1p,92.25,2.036950334855189,bc
T5,log1p,81.375,3.4223225544455413,d
T6,log1p,80.175,4.925676772451342,cd
T7,log1p,133.725,9.946219968745245,a
T8,log1p,97.25,2.2444375687463465,b
