,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.007240026607879893,0.19334794195195823,0.7764691639080509,0.0007404694179933113,0.0060506749407197875,0.5324431649265685,0.13391970894335667
T2,0.007240026607879893,1.0,0.002416135538878748,0.0012911257304930538,1.4389373948883476e-05,0.0004222027134270528,0.016035190094752384,0.0002941521221108568
T3,0.19334794195195823,0.002416135538878748,1.0,0.08366740429773965,0.0123366505581462,0.03171198718855948,0.08471009682406286,0.7684494543727624
T4,0.7764691639080509,0.0012911257304930538,0.08366740429773965,1.0,1.667414552209738e-05,0.0027247175793690074,0.5644790323637213,0.007375967612787786
T5,0.0007404694179933113,1.4389373948883476e-05,0.0123366505581462,1.667414552209738e-05,1.0,0.5447005250117786,0.00034318062724970026,0.0003718055142344686
T6,0.0060506749407197875,0.0004222027134270528,0.03171198718855948,0.0027247175793690074,0.5447005250117786,1.0,0.003559746836080065,0.012365777468991588
T7,0.5324431649265685,0.016035190094752384,0.08471009682406286,0.5644790323637213,0.00034318062724970026,0.003559746836080065,1.0,0.03971119544015381
T8,0.13391970894335667,0.0002941521221108568,0.7684494543727624,0.007375967612787786,0.0003718055142344686,0.012365777468991588,0.03971119544015381,1.0
