,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.6516422827192757,0.07095670366551313,0.004388181724727266,0.010081515299788455,0.31970977447577015,0.006216400959145305,0.004136784426151193
T2,0.6516422827192757,1.0,0.07497279029250059,0.0001303278949574755,0.00034754989063060795,0.3822147588603483,0.0001933057585730768,0.00019403948083239502
T3,0.07095670366551313,0.07497279029250059,1.0,0.8473850176904741,0.5805154610010717,0.4237510509189851,0.7262985779695532,0.9131196769967524
T4,0.004388181724727266,0.0001303278949574755,0.8473850176904741,1.0,0.0710443878871163,0.35666690573399645,0.39357323357156143,0.7054667718935542
T5,0.010081515299788455,0.00034754989063060795,0.5805154610010717,0.0710443878871163,1.0,0.5571633376063855,0.24851683763294824,0.066221243609907
T6,0.31970977447577015,0.3822147588603483,0.4237510509189851,0.35666690573399645,0.5571633376063855,1.0,0.43564788237215085,0.322915501439039
T7,0.006216400959145305,0.0001933057585730768,0.7262985779695532,0.39357323357156143,0.24851683763294824,0.43564788237215085,1.0,0.28323471853979304
T8,0.004136784426151193,0.00019403948083239502,0.9131196769967524,0.7054667718935542,0.066221243609907,0.322915501439039,0.28323471853979304,1.0
