,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.023301185874657238,0.6986109450891769,0.9999982512078249,0.0006848249165379849,8.872497236667165e-05,0.9973109152253041,0.8556133925982061
T2,0.023301185874657238,1.0,0.0004086545148537235,0.03820775404141252,1.4910002876789008e-07,2.6890628723741372e-08,0.09705497603910151,0.0008459431315877008
T3,0.6986109450891769,0.0004086545148537235,1.0,0.5627792656172825,0.037391245114982485,0.0053384279419802505,0.3124305808334109,0.9999864725465967
T4,0.9999982512078249,0.03820775404141252,0.5627792656172825,1.0,0.0003989802820261179,5.2175894872941164e-05,0.9998040116949342,0.7431969825781333
T5,0.0006848249165379849,1.4910002876789008e-07,0.037391245114982485,0.0003989802820261179,1.0,0.9888209818149222,0.00013601690464570826,0.019128600389635042
T6,8.872497236667165e-05,2.6890628723741372e-08,0.0053384279419802505,5.2175894872941164e-05,0.9888209818149222,1.0,1.827058109238333e-05,0.0026020742344301517
T7,0.9973109152253041,0.09705497603910151,0.3124305808334109,0.9998040116949342,0.00013601690464570826,1.827058109238333e-05,1.0,0.4744826493999643
T8,0.8556133925982061,0.0008459431315877008,0.9999864725465967,0.7431969825781333,0.019128600389635042,0.0026020742344301517,0.4744826493999643,1.0
