,transform,mean,se,group
T1,none,24.5975,0.8277819257912477,d
T2,none,29.4075,0.7016453876425046,c
T3,none,38.035000000000004,1.1544587476389117,b
T4,none,38.065,0.745089480084999,b
T5,none,38.815,0.13130752707543744,b
T6,none,38.785000000000004,1.1504817831384107,b
T7,none,44.035000000000004,0.5483535963834529,a
T8,none,39.9075,0.6796245900004889,b
