,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.014800616496613253,0.004723675252050691,2.491496602129238e-05,6.432876927856134e-05,0.0019151167830296694,3.912284183769679e-05,3.62094749233304e-05
T2,0.014800616496613253,1.0,0.032475479365556635,4.0621307983025804e-05,0.0001689553674203219,0.019349942420530418,9.763593783557384e-05,7.818733019237027e-05
T3,0.004723675252050691,0.032475479365556635,1.0,0.4162592490453027,0.9018287512166702,0.634720373616725,0.1645033544616418,0.4569549351863325
T4,2.491496602129238e-05,4.0621307983025804e-05,0.4162592490453027,1.0,0.0016409651788813825,0.07004449649551948,0.10073874148496331,0.8124347314852416
T5,6.432876927856134e-05,0.0001689553674203219,0.9018287512166702,0.0016409651788813825,1.0,0.5059899596976335,0.003984016495697769,0.00905162839689541
T6,0.0019151167830296694,0.019349942420530418,0.634720373616725,0.07004449649551948,0.5059899596976335,1.0,0.023603976230069608,0.08756685942755092
T7,3.912284183769679e-05,9.763593783557384e-05,0.1645033544616418,0.10073874148496331,0.003984016495697769,0.023603976230069608,1.0,0.09816684403615326
T8,3.62094749233304e-05,7.818733019237027e-05,0.4569549351863325,0.8124347314852416,0.00905162839689541,0.08756685942755092,0.09816684403615326,1.0
