,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.0007739311014372884,0.8905058682804015,4.129407831825815e-05,0.8837320695737292,0.27990795461674806,3.5611818101860683e-06,5.1471005777170076e-06
T2,0.0007739311014372884,1.0,0.000753069156308172,0.6820828666559027,0.0006670693007524313,0.0008419884906520033,0.9422131792031282,0.8553733469140603
T3,0.8905058682804015,0.000753069156308172,1.0,3.184277168108048e-05,0.761782335719362,0.30138608226574837,1.873211871478283e-06,2.81627069233488e-06
T4,4.129407831825815e-05,0.6820828666559027,3.184277168108048e-05,1.0,2.7983411386478363e-05,1.5795931174627345e-05,0.2705701297134742,0.5685549217513758
T5,0.8837320695737292,0.0006670693007524313,0.761782335719362,2.7983411386478363e-05,1.0,0.1762252089257545,1.696321404010328e-06,2.531168808084381e-06
T6,0.27990795461674806,0.0008419884906520033,0.30138608226574837,1.5795931174627345e-05,0.1762252089257545,1.0,6.471906263130545e-08,1.4749197573119624e-07
T7,3.5611818101860683e-06,0.9422131792031282,1.873211871478283e-06,0.2705701297134742,1.696321404010328e-06,6.471906263130545e-08,1.0,0.21577606899408106
T8,5.1471005777170076e-06,0.8553733469140603,2.81627069233488e-06,0.5685549217513758,2.531168808084381e-06,1.4749197573119624e-07,0.21577606899408106,1.0
