,T3,T4,T5,T6,T7,T8
T3,1.0,0.9999956019950835,0.9265172521772128,0.9865770369447354,0.24151268579725682,0.9344209156907566
T4,0.9999956019950835,1.0,0.8849369500691695,0.9712842507918682,0.19840164184688547,0.8952854065608518
T5,0.9265172521772128,0.8849369500691695,1.0,0.9994881504180447,0.7528269040567624,0.9999999973665666
T6,0.9865770369447354,0.9712842507918682,0.9994881504180447,1.0,0.5663416158526158,0.9996702711584062
T7,0.24151268579725682,0.19840164184688547,0.7528269040567624,0.5663416158526158,1.0,0.7376318025613413
T8,0.9344209156907566,0.8952854065608518,0.9999999973665666,0.9996702711584062,0.7376318025613413,1.0
