,transform,mean,se,group
T3,none,57.45,3.015722688400466,b
T4,none,61.75,2.406328461924238,b
T5,none,65.575,4.019820684226266,b
T6,none,64.375,5.3621551948198345,b
T7,none,103.2375,9.56191174661218,a
T8,none,66.775,2.3396491902277448,b
