,T3,T4,T5,T6,T7,T8
T3,1.0,0.004254617583356407,0.14716407418224514,0.3039752721603616,0.0007136127455465553,0.0015932110736350219
T4,0.004254617583356407,1.0,0.038520752866248564,0.0709333629245886,0.005039099225666997,0.1546963839828184
T5,0.14716407418224514,0.038520752866248564,1.0,0.8207165540725162,0.001746831906736681,0.00997925004323313
T6,0.3039752721603616,0.0709333629245886,0.8207165540725162,1.0,0.0025320317503665997,0.02473152493273423
T7,0.0007136127455465553,0.005039099225666997,0.001746831906736681,0.0025320317503665997,1.0,0.010380255475683853
T8,0.0015932110736350219,0.1546963839828184,0.00997925004323313,0.02473152493273423,0.010380255475683853,1.0
