,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.3909891051693492,0.0001096043111105473,1.4486469730190879e-05,1.6095080201661032e-06,1.0139504700344909e-07,1.1758387718758248e-06,0.00011470338717016731
T2,0.3909891051693492,1.0,0.0005257855739193192,0.00033542775042605914,7.493970878331498e-05,4.005907724687691e-05,0.00011844585403099891,0.0007937627313929571
T3,0.0001096043111105473,0.0005257855739193192,1.0,0.20769728317586572,0.9286671456059126,0.9491870461412084,0.33283036247058584,0.3500235743807589
T4,1.4486469730190879e-05,0.00033542775042605914,0.20769728317586572,1.0,0.07323592996252362,0.037964374436633606,0.4690601567177038,0.7940325370564396
T5,1.6095080201661032e-06,7.493970878331498e-05,0.9286671456059126,0.07323592996252362,1.0,0.9453028190290171,0.11446850557490394,0.24526519954193832
T6,1.0139504700344909e-07,4.005907724687691e-05,0.9491870461412084,0.037964374436633606,0.9453028190290171,1.0,0.03763217076252647,0.19912555340072613
T7,1.1758387718758248e-06,0.00011844585403099891,0.33283036247058584,0.4690601567177038,0.11446850557490394,0.03763217076252647,1.0,0.8185209417796738
T8,0.00011470338717016731,0.0007937627313929571,0.3500235743807589,0.7940325370564396,0.24526519954193832,0.19912555340072613,0.8185209417796738,1.0
