,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.48833665543504556,1.0993996926056404e-05,5.966552638181355e-06,4.9210394532650525e-06,9.834685635201623e-06,1.3862425025656933e-06,1.4335525370223756e-05
T2,0.48833665543504556,1.0,0.001449906947775581,0.0007603537508095171,0.0006192072274602278,0.0012898602331247178,0.0001574769794155939,0.0019129910269186645
T3,1.0993996926056404e-05,0.001449906947775581,1.0,0.9999940327040967,0.9999607021825836,0.999999999958953,0.9823721388185035,0.9999999827949646
T4,5.966552638181355e-06,0.0007603537508095171,0.9999940327040967,1.0,0.9999999979230787,0.9999984981297011,0.9977278514360526,0.9999316618475517
T5,4.9210394532650525e-06,0.0006192072274602278,0.9999607021825836,0.9999999979230787,1.0,0.9999856556601584,0.9990625672752789,0.9997388647581068
T6,9.834685635201623e-06,0.0012898602331247178,0.999999999958953,0.9999984981297011,0.9999856556601584,1.0,0.9870400181671397,0.9999998007278508
T7,1.3862425025656933e-06,0.0001574769794155939,0.9823721388185035,0.9977278514360526,0.9990625672752789,0.9870400181671397,1.0,0.9664380116767763
T8,1.4335525370223756e-05,0.0019129910269186645,0.9999999827949646,0.9999316618475517,0.9997388647581068,0.9999998007278508,0.9664380116767763,1.0
