,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.0029020240605938845,0.009259684066682506,0.00455697878845931,0.0009430679054714855,0.0022392048579881196,0.0062158026537322735,0.2952654759348045
T2,0.0029020240605938845,1.0,0.06667467034773061,0.2055875114787098,0.008748183483578592,0.013909793594930647,0.6232553717925997,0.6601692351473751
T3,0.009259684066682506,0.06667467034773061,1.0,0.18138372618951698,0.9600117399312275,0.8446568938629624,0.09545381780581641,0.10514248207543402
T4,0.00455697878845931,0.2055875114787098,0.18138372618951698,1.0,0.0642553379859257,0.11180342598368767,0.4350133623118318,0.36030020428162307
T5,0.0009430679054714855,0.008748183483578592,0.9600117399312275,0.0642553379859257,1.0,0.815287249590813,0.02041866688597636,0.062302912358128064
T6,0.0022392048579881196,0.013909793594930647,0.8446568938629624,0.11180342598368767,0.815287249590813,1.0,0.03654190294697779,0.12044489287496887
T7,0.0062158026537322735,0.6232553717925997,0.09545381780581641,0.4350133623118318,0.02041866688597636,0.03654190294697779,1.0,0.5631773375847321
T8,0.2952654759348045,0.6601692351473751,0.10514248207543402,0.36030020428162307,0.062302912358128064,0.12044489287496887,0.5631773375847321,1.0
