,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.7485515436512681,0.0005307777446375006,2.9762386101639393e-05,5.05974688786992e-05,0.0002711154692833784,1.1867324689607273e-07,4.351563928750579e-06
T2,0.7485515436512681,1.0,0.02443497671258832,0.0014326465271420341,0.0024648354043134146,0.01296801385705515,3.861396813631401e-06,0.00019089834707053388
T3,0.0005307777446375006,0.02443497671258832,1.0,0.927161292094375,0.9748905731734187,0.9999920928073708,0.0230240333532179,0.4939059313726436
T4,2.9762386101639393e-05,0.0014326465271420341,0.927161292094375,1.0,0.999998154308541,0.9815344115749379,0.2543675493287033,0.9898980493275811
T5,5.05974688786992e-05,0.0024648354043134146,0.9748905731734187,0.999998154308541,1.0,0.9964232386648924,0.17274306776377168,0.9618988053849538
T6,0.0002711154692833784,0.01296801385705515,0.9999920928073708,0.9815344115749379,0.9964232386648924,1.0,0.04252776495456734,0.6635921155085465
T7,1.1867324689607273e-07,3.861396813631401e-06,0.0230240333532179,0.2543675493287033,0.17274306776377168,0.04252776495456734,1.0,0.7184585371846477
T8,4.351563928750579e-06,0.00019089834707053388,0.4939059313726436,0.9898980493275811,0.9618988053849538,0.6635921155085465,0.7184585371846477,1.0
