,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.24687403905315872,0.04654154591579892,0.06767145798791632,0.030842639533271713,0.06792133415897064,0.008842242694296863,0.016869298732798133
T2,0.24687403905315872,1.0,0.4147114788433113,0.42154033321146306,0.3842506122789823,0.7307162706542819,0.07810179816114814,0.1903570092950671
T3,0.04654154591579892,0.4147114788433113,1.0,0.9201031016244287,0.9782744031519623,0.45634769449786905,0.18798843614458777,0.5228743476724355
T4,0.06767145798791632,0.42154033321146306,0.9201031016244287,1.0,0.895111930941987,0.48239893790806626,0.28548629100150374,0.6652166754584835
T5,0.030842639533271713,0.3842506122789823,0.9782744031519623,0.895111930941987,1.0,0.3806642961181644,0.14076781290338553,0.4442590933694303
T6,0.06792133415897064,0.7307162706542819,0.45634769449786905,0.48239893790806626,0.3806642961181644,1.0,0.047572416544503913,0.14024584667351486
T7,0.008842242694296863,0.07810179816114814,0.18798843614458777,0.28548629100150374,0.14076781290338553,0.047572416544503913,1.0,0.39476049047573775
T8,0.016869298732798133,0.1903570092950671,0.5228743476724355,0.6652166754584835,0.4442590933694303,0.14024584667351486,0.39476049047573775,1.0
