,transform,mean,se,group
T1,none,5.30015,0.15432892632296769,a
T2,none,4.34705,0.17195451191133873,b
T3,none,2.536525,0.18678643497766825,c
T4,none,2.46815,0.05147247646396407,c
T5,none,2.408825,0.0955654346072192,c
T6,none,2.40685,0.11116790978815179,c
T7,none,2.0574,0.04707632101173582,d
T8,none,2.2855,0.08507765080599407,cd
