,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.00904493431948139,1.3720780067671967e-10,1.374780322915825e-08,3.4643399260403385e-11,1.0242251491376919e-10,4.588164292940178e-10,6.963747356536487e-10
T2,0.00904493431948139,1.0,3.1874503036988244e-13,1.2300938045939347e-11,1.042499420123022e-13,2.517985819849855e-13,8.379963389870682e-13,1.1680656442081272e-12
T3,1.3720780067671967e-10,3.1874503036988244e-13,1.0,0.22156904389645282,0.9882616007524659,0.9999996320534242,0.9959142728787579,0.9777998823698882
T4,1.374780322915825e-08,1.2300938045939347e-11,0.22156904389645282,1.0,0.0414422150636955,0.1618172196861587,0.5981270582075398,0.7418970153918429
T5,3.4643399260403385e-11,1.042499420123022e-13,0.9882616007524659,0.0414422150636955,1.0,0.9971186036701755,0.7717027846809155,0.6313505949990943
T6,1.0242251491376919e-10,2.517985819849855e-13,0.9999996320534242,0.1618172196861587,0.9971186036701755,1.0,0.9847967058287538,0.9453670060124633
T7,4.588164292940178e-10,8.379963389870682e-13,0.9959142728787579,0.5981270582075398,0.7717027846809155,0.9847967058287538,1.0,0.9999970482322023
T8,6.963747356536487e-10,1.1680656442081272e-12,0.9777998823698882,0.7418970153918429,0.6313505949990943,0.9453670060124633,0.9999970482322023,1.0
