,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.00211895654141843,0.04841069928926163,2.4181824231679076e-06,0.004030925409971344,0.010377703269253073,8.09168332949734e-06,2.6632114490575012e-05
T2,0.00211895654141843,1.0,0.9612799982444562,0.0015780247588060552,0.36815112684224216,0.46938901878718725,0.0007938342114018317,0.01430358373817856
T3,0.04841069928926163,0.9612799982444562,1.0,0.048869961637402426,0.5916093116399637,0.6345133217568408,0.017709627402998286,0.14853036426624316
T4,2.4181824231679076e-06,0.0015780247588060552,0.048869961637402426,1.0,0.0002882876334883203,0.0011301412672534185,0.06365760661415996,0.07280585329278702
T5,0.004030925409971344,0.36815112684224216,0.5916093116399637,0.0002882876334883203,1.0,0.9426363050601878,0.0002285104517814027,0.002654775892036977
T6,0.010377703269253073,0.46938901878718725,0.6345133217568408,0.0011301412672534185,0.9426363050601878,1.0,0.000602975534508539,0.007297819725591822
T7,8.09168332949734e-06,0.0007938342114018317,0.017709627402998286,0.06365760661415996,0.0002285104517814027,0.000602975534508539,1.0,0.011004221667958452
T8,2.6632114490575012e-05,0.01430358373817856,0.14853036426624316,0.07280585329278702,0.002654775892036977,0.007297819725591822,0.011004221667958452,1.0
