,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.5517806691036615,0.0035970539680968416,0.19051327705208376,0.003920049356590183,0.015670027143844578,0.4302801383411693,0.8504670250556376
T2,0.5517806691036615,1.0,0.22158607274456887,0.9952557622884166,0.23559712048466308,0.4606852706094896,0.9999990050798715,0.9993757186791192
T3,0.0035970539680968416,0.22158607274456887,1.0,0.6056655348920177,0.9999999999940171,0.9999861597911212,0.3082209770497455,0.08264355087542918
T4,0.19051327705208376,0.9952557622884166,0.6056655348920177,1.0,0.6280873540580868,0.8482273427123507,0.9994031782979865,0.9077311740190773
T5,0.003920049356590183,0.23559712048466308,0.9999999999940171,0.6280873540580868,1.0,0.9999939041075077,0.3257610209401466,0.08890943592105516
T6,0.015670027143844578,0.4606852706094896,0.9999861597911212,0.8482273427123507,0.9999939041075077,1.0,0.574891238717148,0.22188269056771226
T7,0.4302801383411693,0.9999990050798715,0.3082209770497455,0.9994031782979865,0.3257610209401466,0.574891238717148,1.0,0.9951098736407771
T8,0.8504670250556376,0.9993757186791192,0.08264355087542918,0.9077311740190773,0.08890943592105516,0.22188269056771226,0.9951098736407771,1.0
