,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.9504856235733821,0.9609562124091191,0.9562155990930824,0.7928792664649152,0.8028422939114915,0.6757042807899284,0.7851388898518143
T2,0.9504856235733821,1.0,0.9091794686423968,0.904607538370595,0.7368631695666047,0.7453610346572517,0.6251465475401551,0.7283561766223781
T3,0.9609562124091191,0.9091794686423968,1.0,0.9948831073807543,0.8240716434114251,0.8353647960826249,0.6964890182613976,0.8159877164707834
T4,0.9562155990930824,0.904607538370595,0.9948831073807543,1.0,0.8305081628238397,0.8419571813787022,0.7027659732277876,0.8225850300149633
T5,0.7928792664649152,0.7368631695666047,0.8240716434114251,0.8305081628238397,1.0,0.9798154069532568,0.8294760834467889,0.9941589574349572
T6,0.8028422939114915,0.7453610346572517,0.8353647960826249,0.8419571813787022,0.9798154069532568,1.0,0.805103323382928,0.9730234404610186
T7,0.6757042807899284,0.6251465475401551,0.6964890182613976,0.7027659732277876,0.8294760834467889,0.805103323382928,1.0,0.8299668306142017
T8,0.7851388898518143,0.7283561766223781,0.8159877164707834,0.8225850300149633,0.9941589574349572,0.9730234404610186,0.8299668306142017,1.0
