,T3,T4,T5,T6,T7,T8
T3,1.0,0.9353190941326679,0.9139794506841995,0.9974369411092927,0.0653906852250048,0.6710870408441572
T4,0.9353190941326679,1.0,0.4266230903122008,0.7826290784968661,0.010422863667213678,0.9914940306891546
T5,0.9139794506841995,0.4266230903122008,1.0,0.9964260568447553,0.3487797801077335,0.18186654169798566
T6,0.9974369411092927,0.7826290784968661,0.9964260568447553,1.0,0.21445767982221065,0.47473444343874416
T7,0.0653906852250048,0.010422863667213678,0.3487797801077335,0.21445767982221065,1.0,0.0032074060302661467
T8,0.6710870408441572,0.9914940306891546,0.18186654169798566,0.47473444343874416,0.0032074060302661467,1.0
