,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.9999768850863349,0.06832362550502524,0.11651723270825398,0.28502154489377685,0.7570666022163135,0.1755222247740751,0.09303764835043471
T2,0.9999768850863349,1.0,0.13034885948839914,0.21125758494967517,0.45422575112884134,0.9050444126853109,0.3025563757184003,0.17265137259289187
T3,0.06832362550502524,0.13034885948839914,1.0,0.9999940636735339,0.993535780714387,0.7541995543743523,0.9996560300258567,0.9999998787410628
T4,0.11651723270825398,0.21125758494967517,0.9999940636735339,1.0,0.9995497520485783,0.8816483639589506,0.9999984336008382,0.9999999829899907
T5,0.28502154489377685,0.45422575112884134,0.993535780714387,0.9995497520485783,1.0,0.9900750604364605,0.9999901627627678,0.9983242775959883
T6,0.7570666022163135,0.9050444126853109,0.7541995543743523,0.8816483639589506,0.9900750604364605,1.0,0.949523124878507,0.8322800352175276
T7,0.1755222247740751,0.3025563757184003,0.9996560300258567,0.9999984336008382,0.9999901627627678,0.949523124878507,1.0,0.9999720672831621
T8,0.09303764835043471,0.17265137259289187,0.9999998787410628,0.9999999829899907,0.9983242775959883,0.8322800352175276,0.9999720672831621,1.0
