,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.9980426591784689,0.09735525766118469,0.650999939436945,0.02731448236466627,0.006083378006718099,0.99296643227137,0.9833231911466673
T2,0.9980426591784689,1.0,0.2994926395175892,0.9427184137637483,0.10277134925498521,0.023243703124608106,0.9999999007850894,0.9999929346403791
T3,0.09735525766118469,0.2994926395175892,1.0,0.9105025037646275,0.998523245214394,0.8114556575951931,0.372326262486964,0.441328903174966
T4,0.650999939436945,0.9427184137637483,0.9105025037646275,1.0,0.5999954006414323,0.19671810204696605,0.9719682520064306,0.9867415945283263
T5,0.02731448236466627,0.10277134925498521,0.998523245214394,0.5999954006414323,1.0,0.9807501267702499,0.13611074184622707,0.17120405370158664
T6,0.006083378006718099,0.023243703124608106,0.8114556575951931,0.19671810204696605,0.9807501267702499,1.0,0.0313705249343359,0.04032471844379948
T7,0.99296643227137,0.9999999007850894,0.372326262486964,0.9719682520064306,0.13611074184622707,0.0313705249343359,1.0,0.9999999674574966
T8,0.9833231911466673,0.9999929346403791,0.441328903174966,0.9867415945283263,0.17120405370158664,0.04032471844379948,0.9999999674574966,1.0
