,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.8186557519855532,0.2901312992026321,0.6829681264842096,0.327246304458805,0.7670559087552851,0.6973279327822861,0.955636591961839
T2,0.8186557519855532,1.0,0.25873709389144955,0.5769619449789359,0.24536916434425105,0.5629946955171041,0.590252279428038,0.8019588155379541
T3,0.2901312992026321,0.25873709389144955,1.0,0.42266561566485966,0.5530389629196674,0.3254189969851852,0.4168555224273751,0.3080119839485584
T4,0.6829681264842096,0.5769619449789359,0.42266561566485966,1.0,0.6797028535555274,0.8086783297081782,0.9866766110602144,0.7310010464889778
T5,0.327246304458805,0.24536916434425105,0.5530389629196674,0.6797028535555274,1.0,0.4067732825447261,0.666193959464612,0.3872018201647232
T6,0.7670559087552851,0.5629946955171041,0.3254189969851852,0.8086783297081782,0.4067732825447261,1.0,0.8248715362983481,0.8488297314355081
T7,0.6973279327822861,0.590252279428038,0.4168555224273751,0.9866766110602144,0.666193959464612,0.8248715362983481,1.0,0.7449912462363415
T8,0.955636591961839,0.8019588155379541,0.3080119839485584,0.7310010464889778,0.3872018201647232,0.8488297314355081,0.7449912462363415,1.0
