,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.004410725989030901,7.945179309691779e-05,1.942585323521725e-05,2.6835225891042896e-06,5.759058138784881e-05,1.151501920225064e-06,7.332731189892685e-06
T2,0.004410725989030901,1.0,0.0006935833271714183,0.00014910053238450643,1.178364499310122e-05,0.00043723086794926464,3.243538311269513e-06,3.83115258627588e-05
T3,7.945179309691779e-05,0.0006935833271714183,1.0,0.9832885813046365,0.5270066099635693,0.66160060669908,0.0033449315548334047,0.21168205694790573
T4,1.942585323521725e-05,0.00014910053238450643,0.9832885813046365,1.0,0.3598107436389276,0.618221280472193,0.0006560589281130768,0.11747664903478496
T5,2.6835225891042896e-06,1.178364499310122e-05,0.5270066099635693,0.3598107436389276,1.0,0.9801710313256193,8.975995527294886e-05,0.16556982806416892
T6,5.759058138784881e-05,0.00043723086794926464,0.66160060669908,0.618221280472193,0.9801710313256193,1.0,0.006220940861049564,0.4330711011739332
T7,1.151501920225064e-06,3.243538311269513e-06,0.0033449315548334047,0.0006560589281130768,8.975995527294886e-05,0.006220940861049564,1.0,0.003236042482250413
T8,7.332731189892685e-06,3.83115258627588e-05,0.21168205694790573,0.11747664903478496,0.16556982806416892,0.4330711011739332,0.003236042482250413,1.0
