,transform,mean,se,group
T1,log1p,444.77750000000003,44.49371648053239,a
T2,log1p,815.3625,45.638467578531454,b
T3,log1p,565.535,43.21659991639016,ac
T4,log1p,1282.3,78.4532875877954,d
T5,log1p,843.465,128.8785500965929,bce
T6,log1p,861.98,51.40022616681761,bef
T7,log1p,1078.5375,79.68707239100955,defg
T8,log1p,1157.28,107.89136388052565,deg
