,transform,mean,se,group
T3,none,61.230664635,6.877345860920285,ab
T4,none,72.9805290125,4.202458761449162,ab
T5,none,60.6465803125,3.9378461155144007,b
T6,none,61.29745007333333,3.718255559154997,b
T7,none,77.417915695,3.4624166785690718,a
T8,none,59.1299749225,7.278893521086745,ab
