,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.7976939645282032,0.00358445477047972,0.0013501203612981585,0.0012309813736953016,0.0031820709555270446,0.03636196553855719,0.0025802152099459455
T2,0.7976939645282032,1.0,0.00112984406770458,0.00018459660504865902,0.0002595048110590232,0.0010127792025655035,0.012921725744369275,0.00043181317720993945
T3,0.00358445477047972,0.00112984406770458,1.0,0.8540275828102162,0.620027735422228,0.8878615711129711,0.08331094840227979,0.5103832782908666
T4,0.0013501203612981585,0.00018459660504865902,0.8540275828102162,1.0,0.3359336900076856,0.7154882130291579,0.045162350164005376,0.41555629589764415
T5,0.0012309813736953016,0.0002595048110590232,0.620027735422228,0.3359336900076856,1.0,0.7395098235494862,0.026453842337387706,0.1542050349950046
T6,0.0031820709555270446,0.0010127792025655035,0.8878615711129711,0.7154882130291579,0.7395098235494862,1.0,0.06912836969246042,0.41437949650535233
T7,0.03636196553855719,0.012921725744369275,0.08331094840227979,0.045162350164005376,0.026453842337387706,0.06912836969246042,1.0,0.10749163204195473
T8,0.0025802152099459455,0.00043181317720993945,0.5103832782908666,0.41555629589764415,0.1542050349950046,0.41437949650535233,0.10749163204195473,1.0
