,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.17350643721498168,0.6441846559592571,0.07576389372430904,0.6567546065299839,0.5363785939213654,0.11092623525624133,0.09131671412302815
T2,0.17350643721498168,1.0,0.09611006306122269,0.8470169167997967,0.09399157902965213,0.07602236282010194,0.6969248086756386,0.8913414124539539
T3,0.6441846559592571,0.09611006306122269,1.0,0.0337336022896391,0.9665937045591689,0.8855552840313167,0.03474552676455389,0.03362791097388092
T4,0.07576389372430904,0.8470169167997967,0.0337336022896391,1.0,0.031047973856868888,0.0231870381685079,0.43677029755111485,0.6652015495093686
T5,0.6567546065299839,0.09399157902965213,0.9665937045591689,0.031047973856868888,1.0,0.8424997766996571,0.028801056829764762,0.029408113691802233
T6,0.5363785939213654,0.07602236282010194,0.8855552840313167,0.0231870381685079,0.8424997766996571,1.0,0.01796268863256261,0.020084657465833825
T7,0.11092623525624133,0.6969248086756386,0.03474552676455389,0.43677029755111485,0.028801056829764762,0.01796268863256261,1.0,0.6878655794821089
T8,0.09131671412302815,0.8913414124539539,0.03362791097388092,0.6652015495093686,0.029408113691802233,0.020084657465833825,0.6878655794821089,1.0
