,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.11553335518382164,0.14427599198522714,0.13401381306777013,0.41773433721828085,0.28550747257218434,0.8662757416055903,0.8353187169671438
T2,0.11553335518382164,1.0,0.6889422222562938,0.4649694948185584,0.30774583096160385,0.6443596510312638,0.09979165568656787,0.10772925272957512
T3,0.14427599198522714,0.6889422222562938,1.0,0.7214735184931228,0.4514446026044686,0.895152374039801,0.11311535659161115,0.12614766695704757
T4,0.13401381306777013,0.4649694948185584,0.7214735184931228,1.0,0.573248954966017,0.8987320289049473,0.06836586344850427,0.08638128073818113
T5,0.41773433721828085,0.30774583096160385,0.4514446026044686,0.573248954966017,1.0,0.6283506752689595,0.3944051952615144,0.4274912772386794
T6,0.28550747257218434,0.6443596510312638,0.895152374039801,0.8987320289049473,0.6283506752689595,1.0,0.27696192855753116,0.29259180680125685
T7,0.8662757416055903,0.09979165568656787,0.11311535659161115,0.06836586344850427,0.3944051952615144,0.27696192855753116,1.0,0.9375203561509073
T8,0.8353187169671438,0.10772925272957512,0.12614766695704757,0.08638128073818113,0.4274912772386794,0.29259180680125685,0.9375203561509073,1.0
