,T3,T4,T5,T6,T7,T8
T3,1.0,0.9069978182286638,0.850401780151152,0.6776863509264889,0.03750555936689878,0.614116090498052
T4,0.9069978182286638,1.0,0.8927616856313726,0.6323270267610407,0.017419609683927237,0.34246116709868685
T5,0.850401780151152,0.8927616856313726,1.0,0.7440624186088192,0.01884408239526435,0.3506940396651298
T6,0.6776863509264889,0.6323270267610407,0.7440624186088192,1.0,0.017117622841680627,0.2649249496901064
T7,0.03750555936689878,0.017419609683927237,0.01884408239526435,0.017117622841680627,1.0,0.0421287834853503
T8,0.614116090498052,0.34246116709868685,0.3506940396651298,0.2649249496901064,0.0421287834853503,1.0
