,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.5146508401815957,0.6216776935390407,0.3869317964835339,0.48373137577882575,0.42769099749141537,0.3313819671598454,0.32996988557894624
T2,0.5146508401815957,1.0,0.7310403202700683,0.6899612040106462,0.9797008315713525,0.8112936124436706,0.5157166115542424,0.5121246290376927
T3,0.6216776935390407,0.7310403202700683,1.0,0.38615404469707654,0.6338921588434477,0.4876843380451436,0.2343061757277635,0.23389034499239328
T4,0.3869317964835339,0.6899612040106462,0.38615404469707654,1.0,0.5918005661810309,0.8251502950614589,0.7347671445525571,0.7272296845638909
T5,0.48373137577882575,0.9797008315713525,0.6338921588434477,0.5918005661810309,1.0,0.7590797396345106,0.326127969465596,0.32603980987475073
T6,0.42769099749141537,0.8112936124436706,0.4876843380451436,0.8251502950614589,0.7590797396345106,1.0,0.5539182843692307,0.549633120847109
T7,0.3313819671598454,0.5157166115542424,0.2343061757277635,0.7347671445525571,0.326127969465596,0.5539182843692307,1.0,0.9845462382625677
T8,0.32996988557894624,0.5121246290376927,0.23389034499239328,0.7272296845638909,0.32603980987475073,0.549633120847109,0.9845462382625677,1.0
