,T3,T4,T5,T6,T7,T8
T3,1.0,0.04479048163752741,0.688682592322005,0.8227561164561125,1.9733838541036164e-06,0.009910027142998823
T4,0.04479048163752741,1.0,0.5086931389635976,0.3717353057280023,0.0010071027071406613,0.9751074284211416
T5,0.688682592322005,0.5086931389635976,1.0,0.9998469979322584,2.8553187234048316e-05,0.17574135395864066
T6,0.8227561164561125,0.3717353057280023,0.9998469979322584,1.0,1.782279110307261e-05,0.11342428442926789
T7,1.9733838541036164e-06,0.0010071027071406613,2.8553187234048316e-05,1.782279110307261e-05,1.0,0.0047386170354487556
T8,0.009910027142998823,0.9751074284211416,0.17574135395864066,0.11342428442926789,0.0047386170354487556,1.0
