,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,1.299760812090156e-05,7.749356711883593e-14,0.0,1.2212453270876722e-14,1.6653345369377348e-14,0.0,0.0
T2,1.299760812090156e-05,1.0,2.419933253783313e-09,1.2717604747081168e-11,2.0141055490086046e-10,3.007668558652199e-10,1.2878587085651816e-14,4.325539926242072e-12
T3,7.749356711883593e-14,2.419933253783313e-09,1.0,0.07440362714051685,0.8448209796221906,0.9320860242647621,5.88241062193795e-07,0.01516957685493825
T4,0.0,1.2717604747081168e-11,0.07440362714051685,1.0,0.6775311884642132,0.5318852205943854,0.0008982299209566724,0.9955531162038134
T5,1.2212453270876722e-14,2.0141055490086046e-10,0.8448209796221906,0.6775311884642132,1.0,0.9999972601338076,1.4259183908515993e-05,0.2703094726637719
T6,1.6653345369377348e-14,3.007668558652199e-10,0.9320860242647621,0.5318852205943854,0.9999972601338076,1.0,8.234177757637795e-06,0.18041964842748004
T7,0.0,1.2878587085651816e-14,5.88241062193795e-07,0.0008982299209566724,1.4259183908515993e-05,8.234177757637795e-06,1.0,0.005160227252860805
T8,0.0,4.325539926242072e-12,0.01516957685493825,0.9955531162038134,0.2703094726637719,0.18041964842748004,0.005160227252860805,1.0
