,T3,T4,T5,T6,T7,T8
T3,1.0,0.3076919118360004,0.15704405524517914,0.30331585020277935,0.003823433411084406,0.05025973139398469
T4,0.3076919118360004,1.0,0.44544940453642895,0.6708100438341409,0.005637890842337951,0.18498275801487016
T5,0.15704405524517914,0.44544940453642895,1.0,0.8637831734445396,0.010952193584884317,0.805026519106148
T6,0.30331585020277935,0.6708100438341409,0.8637831734445396,1.0,0.012146045374748973,0.6958823012887413
T7,0.003823433411084406,0.005637890842337951,0.010952193584884317,0.012146045374748973,1.0,0.010040237732607179
T8,0.05025973139398469,0.18498275801487016,0.805026519106148,0.6958823012887413,0.010040237732607179,1.0
