,transform,mean,se,group
T1,none,6.69745,0.8158391901390043,e
T2,none,15.95265,1.60197242407602,d
T3,none,16.158625,3.7414087133892497,cd
T4,none,25.548275,0.725577913775174,ab
T5,none,13.901475,1.370457944371759,d
T6,none,14.073174999999999,1.8329954757059093,d
T7,none,29.059175,1.365805758746463,a
T8,none,22.634900000000002,1.1277440142455497,bc
