,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.0031998896184709785,0.009978670019102702,0.004936183858399631,0.000903684157469323,0.0023801722879669396,0.006682329222347753,0.29905489103775185
T2,0.0031998896184709785,1.0,0.06877415398418424,0.1979925760803171,0.007725264490224439,0.014070739338343602,0.6207346910135422,0.6708043367629225
T3,0.009978670019102702,0.06877415398418424,1.0,0.19055541345514465,0.978765467677349,0.8362477956619742,0.09778499517378339,0.10847176578319791
T4,0.004936183858399631,0.1979925760803171,0.19055541345514465,1.0,0.06277206448223778,0.1215767398740147,0.4182443557516434,0.3601810122161462
T5,0.000903684157469323,0.007725264490224439,0.978765467677349,0.06277206448223778,1.0,0.7740987910160438,0.018362823334767915,0.06103382135511308
T6,0.0023801722879669396,0.014070739338343602,0.8362477956619742,0.1215767398740147,0.7740987910160438,1.0,0.03709774884102043,0.12460285706219165
T7,0.006682329222347753,0.6207346910135422,0.09778499517378339,0.4182443557516434,0.018362823334767915,0.03709774884102043,1.0,0.5729880867388769
T8,0.29905489103775185,0.6708043367629225,0.10847176578319791,0.3601810122161462,0.06103382135511308,0.12460285706219165,0.5729880867388769,1.0
