,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.9999999852462415,0.6683721796311595,0.9999641239604337,0.9943654188495097,0.9999998974518467,0.9999748785491492,0.99999999999579
T2,0.9999999852462415,1.0,0.5998195766221659,0.9997643966697545,0.9872419356155149,0.9999949142018135,0.9998185799862236,0.9999999025345045
T3,0.6683721796311595,0.5998195766221659,1.0,0.8536717525933277,0.9724008774967068,0.7544799247197298,0.8457977452935955,0.6892714454171857
T4,0.9999641239604337,0.9997643966697545,0.8536717525933277,1.0,0.9998913129407014,0.999999222655471,0.9999999999999636,0.9999825794357922
T5,0.9943654188495097,0.9872419356155149,0.9724008774967068,0.9998913129407014,1.0,0.9985475859465779,0.9998556407134029,0.9957733529386948
T6,0.9999998974518467,0.9999949142018135,0.7544799247197298,0.999999222655471,0.9985475859465779,1.0,0.9999995935696798,0.9999999842280554
T7,0.9999748785491492,0.9998185799862236,0.8457977452935955,0.9999999999999636,0.9998556407134029,0.9999995935696798,1.0,0.9999883202274441
T8,0.99999999999579,0.9999999025345045,0.6892714454171857,0.9999825794357922,0.9957733529386948,0.9999999842280554,0.9999883202274441,1.0
