,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.8103434214213662,0.25473227995712866,0.20791568850397357,0.2649312605905776,0.6024832975764851,0.010836020216962505,0.07970256677043697
T2,0.8103434214213662,1.0,0.9714830441878515,0.948322262248981,0.9750188410032345,0.9999517554567112,0.23995741268111703,0.7395081217301676
T3,0.25473227995712866,0.9714830441878515,1.0,0.9999999754695178,0.9999999999996819,0.997974194874466,0.7919330780921929,0.9982033556662598
T4,0.20791568850397357,0.948322262248981,0.9999999754695178,1.0,0.9999999126187248,0.9941237749464312,0.8501842483842232,0.9995456197163993
T5,0.2649312605905776,0.9750188410032345,0.9999999999996819,0.9999999126187248,1.0,0.998411071919051,0.7792566899602916,0.9977220006030927
T6,0.6024832975764851,0.9999517554567112,0.997974194874466,0.9941237749464312,0.998411071919051,1.0,0.41489656733598335,0.9070080651994501
T7,0.010836020216962505,0.23995741268111703,0.7919330780921929,0.8501842483842232,0.7792566899602916,0.41489656733598335,1.0,0.9837153272746654
T8,0.07970256677043697,0.7395081217301676,0.9982033556662598,0.9995456197163993,0.9977220006030927,0.9070080651994501,0.9837153272746654,1.0
