,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.006045722158319555,4.4646120134217426e-10,4.264453234981147e-10,1.3865986137062691e-10,1.4491119415538378e-10,1.588729148238599e-13,2.912803331867053e-11
T2,0.006045722158319555,1.0,1.9856863865408414e-06,1.8714660119378834e-06,4.3773911484468186e-07,4.634435709638396e-07,7.641609567343721e-11,5.8195798957605405e-08
T3,4.4646120134217426e-10,1.9856863865408414e-06,1.0,0.9999999999993573,0.9966345834962116,0.9973612541183978,0.00047170128709184134,0.7185876758706722
T4,4.264453234981147e-10,1.8714660119378834e-06,0.9999999999993573,1.0,0.9973612541183978,0.9979562831604443,0.0005031991355274323,0.7339074349662917
T5,1.3865986137062691e-10,4.3773911484468186e-07,0.9966345834962116,0.9973612541183978,1.0,0.9999999999993573,0.0025279790098906574,0.975796667225176
T6,1.4491119415538378e-10,4.634435709638396e-07,0.9973612541183978,0.9979562831604443,0.9999999999993573,1.0,0.002370638342348852,0.9719542170139734
T7,1.588729148238599e-13,7.641609567343721e-11,0.00047170128709184134,0.0005031991355274323,0.0025279790098906574,0.002370638342348852,1.0,0.024652697453172
T8,2.912803331867053e-11,5.8195798957605405e-08,0.7185876758706722,0.7339074349662917,0.975796667225176,0.9719542170139734,0.024652697453172,1.0
