,T3,T4,T5,T6,T7,T8
T3,1.0,0.19515118489781674,0.9436430659273144,0.994179846870676,0.08022135069231721,0.8407847487471339
T4,0.19515118489781674,1.0,0.07597778251642813,0.10300364795997508,0.44624342662377176,0.15046884388716086
T5,0.9436430659273144,0.07597778251642813,1.0,0.9120345045035212,0.01863620379493444,0.860631637804693
T6,0.994179846870676,0.10300364795997508,0.9120345045035212,1.0,0.02584651344156488,0.8222825227279245
T7,0.08022135069231721,0.44624342662377176,0.01863620379493444,0.02584651344156488,1.0,0.06376808979000398
T8,0.8407847487471339,0.15046884388716086,0.860631637804693,0.8222825227279245,0.06376808979000398,1.0
