,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.9764154815190837,0.05369200228703541,0.055337284445153734,0.3670808824434635,0.1605020021168081,0.13427069055230478,0.3850886004821742
T2,0.9764154815190837,1.0,0.3224518654605466,0.329444148394599,0.8979864551518023,0.6402591194064926,0.5812861891486704,0.9096811992716404
T3,0.05369200228703541,0.3224518654605466,1.0,0.999999999999992,0.9623489457525488,0.9992136351905767,0.9997752655041825,0.9556464175900203
T4,0.055337284445153734,0.329444148394599,0.999999999999992,1.0,0.9649496051464516,0.9993363406820054,0.999818044227474,0.9585649027385084
T5,0.3670808824434635,0.8979864551518023,0.9623489457525488,0.9649496051464516,1.0,0.9995626042355433,0.9986501874490479,0.9999999999966301
T6,0.1605020021168081,0.6402591194064926,0.9992136351905767,0.9993363406820054,0.9995626042355433,1.0,0.9999999950454866,0.9993319808200772
T7,0.13427069055230478,0.5812861891486704,0.9997752655041825,0.999818044227474,0.9986501874490479,0.9999999950454866,1.0,0.9980892575560706
T8,0.3850886004821742,0.9096811992716404,0.9556464175900203,0.9585649027385084,0.9999999999966301,0.9993319808200772,0.9980892575560706,1.0
