,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.5311259500227229,0.0032489322314190883,0.18610484860970766,0.0038199070376948585,0.013762988618342464,0.4104047581114445,0.8442903158794818
T2,0.5311259500227229,1.0,0.21809755464047298,0.9960124335643766,0.24467466199844812,0.4457394732017411,0.9999989504479941,0.9992057475653813
T3,0.0032489322314190883,0.21809755464047298,1.0,0.5872862940677233,0.9999999995028943,0.9999907426225918,0.3045672448722214,0.07788383428898638
T4,0.18610484860970766,0.9960124335643766,0.5872862940677233,1.0,0.6295040037881443,0.8275317125634991,0.9995489229074427,0.9078848931899266
T5,0.0038199070376948585,0.24467466199844812,0.9999999995028943,0.6295040037881443,1.0,0.9999983987922596,0.33781971689094636,0.08940091569553266
T6,0.013762988618342464,0.4457394732017411,0.9999907426225918,0.8275317125634991,0.9999983987922596,1.0,0.559956353951865,0.20570072797363415
T7,0.4104047581114445,0.9999989504479941,0.3045672448722214,0.9995489229074427,0.33781971689094636,0.559956353951865,1.0,0.9941713662234973
T8,0.8442903158794818,0.9992057475653813,0.07788383428898638,0.9078848931899266,0.08940091569553266,0.20570072797363415,0.9941713662234973,1.0
