Treatment,PC1,PC2,PC3,PC4,PC5
T1,-8.67045111203422,-0.8187118416446464,-2.3657412044113277,0.6666112654059707,-0.3226372315238055
T2,-5.9312803717341165,2.305158266829819,2.520358390383714,-0.7865065148351066,0.8003695683200213
T3,1.6046271882999394,-3.356684181579017,1.873819596010156,2.1344368032459498,0.06565246063792012
T4,2.1412646636798986,2.0172052815839834,1.484916888462529,-0.08451085840345286,-0.9076774979453309
T5,2.238045769792408,-3.0812928310681906,-0.8303273197404232,-0.6078787588979252,0.1782984485619912
T6,1.9011865095258396,-2.9203493249395587,-0.17631624540387383,-1.9769857035691092,0.09074123529473124
T7,4.496315946465081,3.1150431497399618,-1.7531997347604726,0.6748485105256995,1.3202803345274947
T8,2.2202914060051717,2.7396314810776516,-0.7535103705403025,-0.020014743472026406,-1.2250273178730242
