,T1,T2,T3,T4,T5,T6,T7,T8
T1,1.0,0.9214537356562249,0.9846374905760126,0.7764463857223576,0.9148552677714683,0.8441010949560493,0.6770857229361749,0.6725083560273701
T2,0.9214537356562249,1.0,0.9999760764942521,0.9999686555479904,0.9999999999998778,0.9999990817381691,0.9995034698124982,0.9994533694739608
T3,0.9846374905760126,0.9999760764942521,1.0,0.9973853346432486,0.9999634229440153,0.9993943622521649,0.9893719627494161,0.9887988834195238
T4,0.7764463857223576,0.9999686555479904,0.9973853346432486,1.0,0.9999797167541393,0.9999999420311517,0.999999686048595,0.9999995772145335
T5,0.9148552677714683,0.9999999999998778,0.9999634229440153,0.9999797167541393,1.0,0.9999995697878652,0.999622494433458,0.9995824725890089
T6,0.8441010949560493,0.9999990817381691,0.9993943622521649,0.9999999420311517,0.9999995697878652,1.0,0.999982976318815,0.9999799139725184
T7,0.6770857229361749,0.9995034698124982,0.9893719627494161,0.999999686048595,0.999622494433458,0.999982976318815,1.0,0.9999999999999999
T8,0.6725083560273701,0.9994533694739608,0.9887988834195238,0.9999995772145335,0.9995824725890089,0.9999799139725184,0.9999999999999999,1.0
